time;power(kw);accuracy(sec)
00:00;4620,222217;900
00:15;4606,971507;
00:30;4661,067414;
00:45;4660,011401;
01:00;4657,171043;
01:15;4646,209422;
01:30;4651,19322;
01:45;4658,943553;
02:00;4679,050911;
02:15;4685,241215;
02:30;4709,990954;
02:45;4744,071267;
03:00;4840,222359;
03:15;4912,881208;
03:30;5044,307087;
03:45;5199,846319;
04:00;5528,306911;
04:15;5815,050982;
04:30;6096,531318;
04:45;6440,91521;
05:00;6983,881215;
05:15;7465,948503;
05:30;8006,285669;
05:45;8474,402687;
06:00;8990,460213;
06:15;9394,366368;
06:30;9828,527291;
06:45;10137,28748;
07:00;10316,77996;
07:15;10445,02535;
07:30;10408,00401;
07:45;10470,56016;
08:00;10459,61405;
08:15;10513,43793;
08:30;10414,88319;
08:45;10464,4137;
09:00;10485,20917;
09:15;10539,79918;
09:30;10596,57628;
09:45;10572,71706;
10:00;10387,4172;
10:15;10287,3349;
10:30;10164,04775;
10:45;10104,93709;
11:00;10034,60083;
11:15;9992,375112;
11:30;9882,606794;
11:45;9874,971502;
12:00;9993,736568;
12:15;10082,39851;
12:30;10002,10406;
12:45;9936,074254;
13:00;9807,644366;
13:15;9755,170064;
13:30;9595,127623;
13:45;9414,078783;
14:00;9082,771981;
14:15;8877,117021;
14:30;8568,409626;
14:45;8277,474041;
15:00;7858,041797;
15:15;7489,538791;
15:30;7075,759947;
15:45;6821,214584;
16:00;6576,155275;
16:15;6405,985908;
16:30;6265,878822;
16:45;6169,606895;
17:00;6073,911465;
17:15;5995,603295;
17:30;5933,010069;
17:45;5878,208982;
18:00;5804,562187;
18:15;5743,593699;
18:30;5700,965949;
18:45;5647,713713;
19:00;5580,979215;
19:15;5524,963709;
19:30;5475,842369;
19:45;5415,491986;
20:00;5363,21065;
20:15;5309,084406;
20:30;5258,978945;
20:45;5191,393551;
21:00;5122,984974;
21:15;5069,877011;
21:30;5022,631208;
21:45;4967,518827;
22:00;4910,512706;
22:15;4875,446278;
22:30;4837,546476;
22:45;4809,008995;
23:00;4776,267221;
23:15;4751,276273;
23:30;4731,440772;
23:45;4721,594535;
