time;production;accuracy(sec)
0;5,958367526;3600
3600;6,207281052;
7200;6,082824289;
10800;6,067267193;
14400;6,067267193;
18000;7,156263869;
21600;8,245260545;
25200;9,380928507;
28800;10,60993904;
32400;11,21666576;
36000;11,99452053;
39600;12,52346177;
43200;12,91238916;
46800;12,81904658;
50400;12,72570401;
54000;12,38344791;
57600;11,79227829;
61200;10,67216742;
64800;8,66530212;
68400;7,358506109;
72000;6,409523291;
75600;6,082824289;
79200;6,191723956;
82800;6,14505267;
