time;production;accuracy(sec)
0;0;3600
3600;0;
7200;0;
10800;0,966243836;
14400;11,77752329;
18000;45,7406137;
21600;96,6776411;
25200;168,8263836;
28800;246,7345479;
32400;303,2636164;
36000;339,3798329;
39600;358,0884438;
43200;338,3375068;
46800;297,3063808;
50400;239,5067397;
54000;167,8829644;
57600;101,1208411;
61200;49,90230959;
64800;17,38478082;
68400;2,366156164;
72000;0;
75600;0;
79200;0;
82800;0;
