time;power(kw);accuracy(sec)
;6277.12868;
;6199.626285;
;6133.479416;
;6027.12199;
;5979.246749;
;5990.591574;
;5926.316175;
;5846.576715;
;5792.951349;
;5766.223669;
;5692.296849;
;5611.574777;
;5458.198594;
;5403.622207;
;5307.838602;
;5325.576419;
;5264.157768;
;5134.406125;
;5138.785196;
;4694.691626;
;5003.419467;
;5003.746171;
;5008.281094;
;4998.087372;
;5011.380298;
;4941.379364;
;4982.060694;
;4949.796114;
;4959.681824;
;4964.43525;
;4931.137404;
;4983.914703;
;4942.527759;
;4947.292656;
;4957.348832;
;5074.018551;
;5031.982946;
;5172.590568;
;5122.338677;
;5396.871665;
;5563.872738;
;5734.152466;
;6021.476448;
;6444.794858;
;6971.112413;
;7328.442788;
;7835.008704;
;8607.078658;
;9195.233221;
;9969.318961;
;10518.24623;
;10952.68639;
;11329.62503;
;11505.58755;
;11567.99963;
;11513.15635;
;11447.95358;
;11221.70051;
;11292.89592;
;11242.57427;
;11493.80591;
;11610.76372;
;11759.30645;
;11786.16232;
;11701.64426;
;11671.06675;
;11545.22365;
;11047.67846;
;10808.08265;
;10695.95118;
;10778.24553;
;11087.09478;
;11299.28121;
;11203.22531;
;11237.4187;
;11187.94725;
;11201.65577;
;10923.83963;
;10714.66526;
;10573.4104;
;10570.83864;
;10475.26906;
;10204.56365;
;9790.716954;
;9251.880634;
;8553.242089;
;8146.110638;
;7645.342008;
;7336.578677;
;7078.389594;
;6936.094348;
;6733.007969;
;6595.665754;
;6513.812764;
;6534.290447;
;6417.73706;
;6418.185545;
;6265.472696;
;6220.849277;
;6143.245953;
;6125.1736;
;6061.601781;
;6033.205919;
;6004.897861;
;5849.004008;
;5783.810294;
;5715.755505;
;5604.91457;
;5548.713667;
;5394.26095;
;5422.906413;
;5235.40488;
;5212.061271;
;5218.590469;
;5116.699121;
;4635.022439;
;4981.886076;
;5004.153027;
;5017.002982;
;5073.888154;
;4967.833795;
;4945.093156;
;4953.719676;
;4884.597947;
;4908.453971;
;4904.959047;
;4948.821213;
;4980.190847;
;4917.980511;
;4925.405665;
;4961.06994;
;4968.916903;
;5007.483577;
;5121.161987;
;5125.996464;
;5357.886257;
;5525.100103;
;5731.848816;
;5962.839371;
;6514.172596;
;6800.220644;
;7331.407896;
;7787.168706;
;8506.814099;
;8986.833599;
;9657.752378;
;10181.72829;
;10647.57998;
;11025.79898;
;11154.53072;
;11134.52021;
;11097.2592;
;11063.77945;
;10903.91202;
;10824.02644;
;10832.20497;
;11016.5319;
;11168.21402;
;11122.4011;
;11109.32537;
;11090.328;
;10953.64783;
;10824.89091;
;10519.11908;
;10258.16284;
;9933.716669;
;10009.50995;
;10198.33071;
;10251.47388;
;10293.81127;
;10150.36437;
;10077.07943;
;9960.163868;
;9699.82974;
;9419.380623;
;9172.896612;
;8999.63533;
;8862.796111;
;8619.982315;
;8167.102472;
;7862.703059;
;7374.022929;
;7142.819102;
;6836.048251;
;6623.252294;
;6435.534877;
;6305.511844;
;6073.971227;
;6027.492842;
;5937.266121;
;5856.224254;
;5773.753791;
;5620.51492;
;5625.063477;
;5545.190406;
;5443.100888;
;5391.719388;
;5348.20349;
;5329.403428;
;5261.596093;
;5193.66075;
;5147.386921;
;5052.623085;
;4964.856394;
;4960.033518;
;4864.043933;
;4759.781209;
;4703.771204;
;4583.402883;
;4590.998065;
;4635.026789;
;4161.433444;
;4476.804782;
;4490.071411;
;4466.971002;
;4459.942578;
;4412.186252;
;4397.368106;
;4383.120096;
;4372.067537;
;4376.572102;
;4276.003981;
;4284.677951;
;4248.151462;
;4199.097177;
;4238.411621;
;4209.304434;
;4213.874361;
;4208.15676;
;4221.287845;
;4208.611855;
;4281.763669;
;4255.659022;
;4301.97367;
;4336.776111;
;4372.750107;
;4491.419246;
;4528.128431;
;4550.27521;
;4684.069368;
;4698.435902;
;4699.725852;
;4771.206347;
;4833.502939;
;4910.601011;
;4887.462528;
;4913.628297;
;4850.259755;
;4869.834615;
;4862.410755;
;4896.946775;
;4849.889677;
;4933.34052;
;4921.064318;
;4910.984603;
;4895.523466;
;4808.792235;
;4757.353437;
;4710.990286;
;4618.195023;
;4554.698927;
;4433.487919;
;4355.985042;
;4304.827428;
;4310.222133;
;4277.567753;
;4248.413507;
;4214.908362;
;4245.195773;
;4259.979696;
;4177.562532;
;4133.025024;
;4161.101403;
;4130.84098;
;4103.74638;
;4052.211826;
;4044.998837;
;4143.85006;
;4071.773768;
;4018.818441;
;4094.204546;
;4004.067184;
;4013.98227;
;4033.34871;
;3948.773622;
;3975.954089;
;3971.30334;
;3939.450941;
;3890.381308;
;3891.96815;
;3888.342103;
;3860.446678;
;3887.528635;
;3880.603232;
;3880.70268;
;3908.91033;
;3906.382892;
;3874.397037;
;3830.293882;
;3891.968227;
;3805.105501;
;3834.025401;
;3817.101886;
;3791.250902;
;3789.310144;
;3814.138723;
;3797.488003;
;3391.258804;
;3723.054482;
;3706.081647;
;3770.622514;
;3740.002501;
;3743.039454;
;3716.830214;
;3710.643994;
;3715.475313;
;3673.539556;
;3733.820757;
;3671.006453;
;3656.696481;
;3716.599514;
;3688.635499;
;3665.840889;
;3715.489453;
;3763.482842;
;3760.170426;
;3719.602643;
;3763.145926;
;3756.905324;
;3836.054752;
;3778.627703;
;3843.197112;
;3781.285917;
;3845.136764;
;3929.997069;
;3871.349423;
;3909.161994;
;3885.369067;
;3887.384737;
;3900.82134;
;3884.31123;
;3911.155864;
;3864.051669;
;3828.11744;
;3889.563363;
;3831.32685;
;3820.918927;
;3831.859068;
;3809.533313;
;3841.302433;
;3801.173428;
;3850.048537;
;3819.151421;
;3794.453334;
;3860.586296;
;3769.579287;
;3778.063042;
;3806.642935;
;3815.427789;
;3790.279602;
;3782.00185;
;3751.763076;
;3762.636051;
;3778.33574;
;3786.568745;
;3769.984216;
;3747.285511;
;3767.960229;
;3732.321599;
;3707.04863;
;3745.957911;
;3722.136142;
;3704.103605;
;3748.93094;
;3784.946941;
;3739.954552;
;3827.391909;
;3871.719474;
;3850.997247;
;3896.438058;
;3880.917879;
;3883.404019;
;3853.779024;
;3861.077153;
;3806.57694;
;3888.332275;
;3820.973764;
;3849.902827;
;3844.921348;
;3867.00882;
;3902.405586;
;3914.963481;
;3948.124256;
;3906.949828;
;3974.879227;
;4080.22154;
;3990.585828;
;4033.716609;
;4095.288651;
;4106.151879;
;4121.782295;
;4192.459769;
;4228.411101;
;3839.428417;
;4135.881337;
;4251.276011;
;4236.070638;
;4226.512925;
;4224.503638;
;4253.058552;
;4325.500696;
;4283.667948;
;4325.903506;
;4296.091423;
;4286.52436;
;4322.648887;
;4252.087585;
;4316.561476;
;4331.805653;
;4393.124034;
;4468.249838;
;4566.286586;
;4661.500488;
;4885.637674;
;5102.268982;
;5392.715626;
;5754.996334;
;6404.111301;
;7002.603553;
;7485.159329;
;8095.796152;
;8962.367139;
;9754.412546;
;10712.9077;
;11493.23988;
;12033.0499;
;12493.29762;
;12704.7226;
;12949.78574;
;12889.51478;
;12980.48722;
;12467.61894;
;12544.26888;
;12590.56812;
;12874.33581;
;13094.34526;
;13264.38284;
;13283.93997;
;13198.83762;
;13237.29967;
;13084.67318;
;12568.97473;
;12217.88786;
;12023.39986;
;11983.45914;
;12433.56652;
;12733.96051;
;12822.32517;
;12829.70681;
;12776.6046;
;12672.52431;
;12388.44659;
;12258.81286;
;12072.69016;
;12166.84555;
;12055.31069;
;11758.09444;
;11001.98112;
;10208.48621;
;9330.954323;
;8895.354149;
;8341.402586;
;7966.180193;
;7716.032184;
;7599.86068;
;7199.624807;
;7050.191303;
;6923.892843;
;6898.404689;
;6871.842884;
;6789.687981;
;6689.217013;
;6609.824552;
;6564.208893;
;6450.358431;
;6364.917894;
;6410.937265;
;6307.562684;
;6249.038802;
;6142.621069;
;5994.471327;
;5866.667951;
;5784.031193;
;5695.113928;
;5611.615368;
;5519.26836;
;5461.367539;
;5371.349391;
;5371.666702;
;4893.523957;
;5206.24859;
;5181.911478;
;5182.013819;
;5132.088843;
;5143.381255;
;5105.580216;
;5107.378346;
;5125.139332;
;5104.107526;
;5064.659331;
;5136.397286;
;5061.219086;
;5115.424435;
;5074.346868;
;5037.963916;
;5089.136431;
;5185.730182;
;5276.207947;
;5302.915574;
;5515.862853;
;5795.59304;
;6057.277216;
;6403.3453;
;7146.378602;
;7766.331403;
;8266.540252;
;8773.83789;
;9752.464837;
;10640.17638;
;11651.70382;
;12435.89644;
;12932.65109;
;13275.07052;
;13543.2552;
;13632.93021;
;13452.1771;
;13352.98068;
;12897.19735;
;13057.50449;
;13100.04817;
;13359.30563;
;13538.98052;
;13638.45979;
;13619.03009;
;13580.01255;
;13591.74535;
;13482.95314;
;12993.51112;
;12726.2155;
;12444.94821;
;12424.28493;
;12860.27411;
;13298.15879;
;13316.69544;
;13209.96241;
;13190.51798;
;13164.9478;
;12750.49964;
;12527.48152;
;12420.94715;
;12473.47954;
;12447.96875;
;11942.9088;
;11155.99824;
;10515.87975;
;9613.554348;
;9138.258736;
;8488.942444;
;8157.027064;
;7773.98524;
;7522.923864;
;7244.580988;
;7131.173589;
;7125.898796;
;7030.968746;
;6924.653819;
;6905.535912;
;6852.247761;
;6828.439936;
;6672.778951;
;6645.763648;
;6580.792807;
;6491.387442;
;6362.944129;
;6246.506568;
;6242.602278;
;6049.59999;
;5904.2143;
;5889.509632;
;5756.230306;
;5688.155266;
;5584.7466;
;5485.396452;
;5423.931532;
;5446.503865;
;4955.70648;
;5246.888143;
;5242.758556;
;5202.099606;
;5240.536412;
;5227.723632;
;5181.380849;
;5220.395296;
;5136.073596;
;5155.272148;
;5132.263013;
;5117.486794;
;5165.098582;
;5187.101806;
;5213.874776;
;5166.172889;
;5206.951147;
;5223.234728;
;5302.614812;
;5418.241608;
;5589.775504;
;5827.487314;
;6130.975205;
;6418.123189;
;7150.865562;
;7686.2713;
;8246.254332;
;8766.504107;
;9770.234862;
;10551.44075;
;11534.41996;
;12223.11916;
;12632.00499;
;13062.61963;
;13336.05225;
;13256.7729;
;13102.22103;
;13171.56214;
;12840.80426;
;12839.64532;
;12875.72416;
;13059.8947;
;13250.32215;
;13345.39563;
;13428.82388;
;13382.02533;
;13323.96424;
;13149.93709;
;12768.50254;
;12390.49699;
;12124.44201;
;12262.15331;
;12686.75775;
;12933.71;
;13158.73918;
;13079.09957;
;12912.00317;
;12874.43585;
;12609.24643;
;12493.38717;
;12261.6519;
;12214.88934;
;12085.49129;
;11772.53582;
;11138.59551;
;10521.50915;
;9719.538169;
;9184.322104;
;8560.143598;
;8192.734325;
;7830.381261;
;7591.724442;
;7371.348125;
;7183.550486;
;7174.947266;
;7092.685421;
;7015.393919;
;6944.078572;
;6850.35443;
;6770.556609;
;6678.264854;
;6577.534606;
;6499.013714;
;6452.094286;
;6376.076542;
;6329.730137;
;6212.726227;
;6102.739575;
;6015.961116;
;5916.385065;
;5875.112919;
;5706.668911;
;5599.618466;
;5560.162805;
;5548.296077;
;5486.636813;
;5034.637495;
;5284.930633;
;5296.659827;
