time;power(kw);accuracy(sec)
00:00;4662,768893;900
00:15;4611,671579;
00:30;4610,199745;
00:45;4611,007957;
01:00;4612,502369;
01:15;4618,474853;
01:30;4620,110499;
01:45;4625,200328;
02:00;4652,262453;
02:15;4679,27197;
02:30;4728,165123;
02:45;4770,857323;
03:00;4923,39792;
03:15;5056,973952;
03:30;5229,831504;
03:45;5479,161867;
04:00;5971,429552;
04:15;6362,516548;
04:30;6713,946025;
04:45;7085,314783;
05:00;7638,678697;
05:15;8131,563111;
05:30;8775,958825;
05:45;9227,03629;
06:00;9565,195003;
06:15;9799,616712;
06:30;9947,625777;
06:45;10022,1832;
07:00;9960,817229;
07:15;9957,527049;
07:30;9728,49236;
07:45;9796,465018;
08:00;9849,349153;
08:15;9978,310394;
08:30;10094,44937;
08:45;10148,34202;
09:00;10132,62593;
09:15;10141,63276;
09:30;10106,11202;
09:45;10014,68983;
10:00;9683,83052;
10:15;9470,556392;
10:30;9281,778268;
10:45;9297,403296;
11:00;9546,99138;
11:15;9735,099749;
11:30;9772,609236;
11:45;9743,54832;
12:00;9684,071418;
12:15;9625,102317;
12:30;9421,427674;
12:45;9309,053148;
13:00;9128,333125;
13:15;9110,249637;
13:30;9020,353756;
13:45;8778,555181;
14:00;8340,734146;
14:15;7930,555034;
14:30;7405,245296;
14:45;7073,134048;
15:00;6714,217604;
15:15;6479,935363;
15:30;6297,739596;
15:45;6152,055239;
16:00;5993,829915;
16:15;5892,009384;
16:30;5825,151724;
16:45;5780,578181;
17:00;5726,401118;
17:15;5675,526417;
17:30;5630,669472;
17:45;5563,907572;
18:00;5484,636061;
18:15;5441,198003;
18:30;5410,546359;
18:45;5382,057862;
19:00;5345,805733;
19:15;5321,307035;
19:30;5267,618928;
19:45;5193,188989;
20:00;5136,064593;
20:15;5104,720468;
20:30;5074,537022;
20:45;5010,750876;
21:00;4948,458311;
21:15;4914,847464;
21:30;4874,280416;
21:45;4820,910164;
22:00;4770,162545;
22:15;4748,695983;
22:30;4717,450265;
22:45;4698,968131;
23:00;4686,727423;
23:15;4675,549263;
23:30;4651,909945;
23:45;4681,761255;
