time;price(euro);accuracy(min)
0;0.09105;15
15;0.09018;
30;0.08935;
45;0.08868;
60;0.08483;
75;0.08413;
90;0.08384;
105;0.08335;
120;0.08178;
135;0.08123;
150;0.08111;
165;0.0808;
180;0.07936;
195;0.07912;
210;0.07901;
225;0.07882;
240;0.07921;
255;0.07923;
270;0.0796;
285;0.07987;
300;0.08396;
315;0.08452;
330;0.08521;
345;0.08602;
360;0.0964;
375;0.09823;
390;0.0996;
405;0.10117;
420;0.11001;
435;0.11171;
450;0.11281;
465;0.11288;
480;0.11256;
495;0.11121;
510;0.10974;
525;0.10777;
540;0.09297;
555;0.08974;
570;0.08768;
585;0.08574;
600;0.07057;
615;0.06791;
630;0.06639;
645;0.06538;
660;0.05403;
675;0.05282;
690;0.05212;
705;0.05162;
720;0.04243;
735;0.04179;
750;0.04178;
765;0.04162;
780;0.03596;
795;0.03598;
810;0.03608;
825;0.03648;
840;0.03744;
855;0.03829;
870;0.03921;
885;0.0409;
900;0.0494;
915;0.05109;
930;0.05275;
945;0.05499;
960;0.06468;
975;0.06663;
990;0.0686;
1005;0.07162;
1020;0.09186;
1035;0.09381;
1050;0.09581;
1065;0.09879;
1080;0.11769;
1095;0.11869;
1110;0.12076;
1125;0.12236;
1140;0.13655;
1155;0.13488;
1170;0.13336;
1185;0.13171;
1200;0.13566;
1215;0.13304;
1230;0.1313;
1245;0.12987;
1260;0.12085;
1275;0.11919;
1290;0.11814;
1305;0.11682;
1320;0.10793;
1335;0.10678;
1350;0.10656;
1365;0.10532;
1380;0.09613;
1395;0.09487;
1410;0.09436;
1425;0.09311;
